Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Life expectancy at birth (years),Total unemployment rate (% of labour force),Education Index,Homeless People due to Natural Disaster,GTI,Prison Population
Eritrea,2015,24th,Warning,7.7,8.1,6.1,8.3,7.2,7.6,9.1,8.7,9.3,8.8,7.8,8.2,7.3,1.48,0.584,0.678,0,0.678
Estonia,2015,146th,Stable,3.1,5.5,6.5,3.6,3.7,3.5,3.2,3.4,2,3.3,2.9,3.1,5.76,1.06,0.439,0.582,0.01,0.582
Ethiopia,2015,20th,Warning,8.4,8.6,8.5,6.9,7.1,7,7.4,8.6,8.5,9.2,9.4,7.9,6.37,1.66,0.267,0.418,0.08,0.418
Fiji,2015,82nd,Warning,6.7,7.9,7,6.7,6.8,7.6,7.4,4.5,6.9,4.7,3.4,7.2,7.68,1.74,0.876,0.863,1.26,0.863
Finland,2015,178th,Sustainable,1.4,1.1,1.6,3.8,1,2.3,0.5,1.2,0.9,1.5,1.5,1,6.41,2.06,0.315,0.441,0,0.441
France,2015,160th,Stable,2.3,1.9,6.8,4.8,3.7,2.2,1.8,1.5,2.3,2.8,2.2,1.4,7,4.08,0.777,0.734,1.99,0.734
Gabon,2015,104th,Warning,5,7.1,3.7,4.8,6.9,5.5,7.4,6.8,6.9,7.1,5,5.1,8.08,6.04,0.847,0.893,0,0.893
Gambia,2015,51st,Warning,6,6.8,3.7,7.8,7.2,7.7,7.8,7.7,8.6,8.2,6.4,7.5,8.22,2.48,0.832,0.894,3.55,0.894
Georgia,2015,70th,Warning,7.3,9.1,7.8,5.8,5.9,5.4,8.8,4.8,5.8,3.9,7.4,7.3,6.44,1,0.618,0.694,6.24,0.694
Germany,2015,165th,Sustainable,2.1,2,4.6,2.9,3.3,2.1,1.2,1.6,1.5,2.5,3,1.3,6.02,1.18,0.358,0.45,0.1,0.45
