Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Life expectancy at birth (years),Total unemployment rate (% of labour force),Education Index,Homeless People due to Natural Disaster,GTI,Prison Population
Egypt,2016,38th,90.2,8.3,8.8,9,8.4,6.2,4.4,8.4,5.1,9.7,6.8,7,8.1,7.37,1.28,6.22,7.22,4.976,7.22
El Salvador,2016,96th,72.5,7,4.3,6.2,5.6,6.6,7.5,5,6.6,6.5,6.6,5,5.6,7.61,1.88,6.65,7.39,1.187,7.39
Equatorial Guinea,2016,53rd,85.2,6.7,8.2,6.3,6.2,8.9,5.7,9.9,7.4,9.4,7.7,3.6,5.2,7.13,1.68,6.01,6.91,3.364,6.91
Eritrea,2016,18th,98.6,7.4,8.1,6.6,8.3,7.5,8,9.5,8.6,9.1,9.1,8.5,7.9,7.33,1.18,5.84,6.8,0,6.8
Estonia,2016,146th,43.4,2.9,5.5,6.8,3.7,3.4,3.7,2.9,3.1,1.8,3,2.6,4,5.79,1.1,4.39,5.92,0.019,5.92
Ethiopia,2016,24th,97.2,8.1,8.3,8.6,6.7,6.7,7.3,7.7,8.3,8.5,9.3,9.5,8.2,6.42,1.54,2.67,4.2,0,4.2
Fiji,2016,82nd,76.2,6.8,7.9,7.1,6.7,6.5,7.9,7.1,4.5,6.6,4.4,3.3,7.4,7.7,1.92,8.77,8.65,0,8.65
Finland,2016,178th,18.8,1.4,1.1,2,3.7,1.2,2,0.6,1,1,1.3,2.5,1,6.46,2.12,3.18,4.48,0,4.48
France,2016,158th,34.5,3,1.9,7,4.5,3.4,1.9,1.5,1.3,2.3,3,2.7,2,7.02,4.1,7.77,7.36,0,7.36
Gabon,2016,98th,72.0,4.7,7.1,4,5,6.7,5.8,7.7,6.9,7.2,6.8,4.7,5.4,8.1,6.02,8.47,8.95,0,8.95
Gambia,2016,48th,86.8,6,6.8,3.4,8.1,6.9,8.4,8.1,8,8.9,8.5,6.5,7.2,8.24,2.46,8.39,8.97,0.659,8.97
Georgia,2016,72nd,78.9,7,9.1,8.1,5.6,5.7,5.1,8.5,4.5,5.8,4.2,7.7,7.6,6.49,0.92,6.18,6.97,0,6.97
